,distance_af_in_pr,distance_af_in_vl,distance_af_ex_pr,distance_af_ex_vl,distance_af_in_pr2,distance_af_in_vl2,distance_af_ex_pr2,distance_af_ex_vl2
Belgium,0.0015745233881440427,0.009395817269623772,-0.007859968739861917,0.004145613655741124,0.0038502223312161326,0.0076827891117831415,-0.007181230497272378,0.002704981676095447
Belgium-Luxembourg,0.01090130762481644,-0.0034028340320666687,0.0011096750854872992,-0.02639246752505966,0.008629613700363815,0.0003480107373829347,-0.003847353853176539,-0.021893702464438336
Belize,0.005976769560188444,-0.000300646998271666,0.020682045928652335,0.014531289653726085,0.0197083907941306,-0.0056784772274316555,0.016619769887523842,0.01860384472201504
Benin,-0.01680976455385304,-0.010174088023675096,0.017515150635132114,0.0023981552947303004,-0.015908474460282113,-0.010924069630751895,0.017263993317748094,0.0015800994291115661
Bermuda,0.0024186591885465717,-0.012857888217990693,0.0667708564934421,0.07837834081834502,0.006012887974593491,-0.008605313224894055,0.06447280378485586,0.07578557953187175
Bhutan,0.007824374451065135,-0.02642310031859992,0.0006168727826013791,0.02543183051994578,0.008353078093469647,-0.019269055922786563,0.012096364087060003,0.014022938864514225
Bolivia,0.008860184636716888,-0.0009463437526038514,0.03979600345159594,0.07379081789930739,0.009263049392869234,-0.0012209977340857437,0.04513354676423546,0.06522808321709245
Bosnia and Herzegovina,-0.005295565863459517,-0.001024430523191251,-0.003102660596094387,-0.0044603722701391756,-0.004941389960303954,-0.0014035871929084895,-0.008486269442478505,0.0015913378902563252
Botswana,0.003873371789651547,0.005531226692296533,0.05146241412287512,-0.034282869691896235,0.0024493302695909173,0.006875116856539857,0.046089451539209216,-0.030051448647924993
Brazil,-0.01801862381439648,-0.019634328889587375,-0.018461686426583645,-0.01134586908276331,-0.016869028177010758,-0.02105502986100596,-0.02022545500507944,-0.010987941418499842
Brunei,0.015896542964637918,0.022866912983120546,0.10426545699505921,0.16492338040455454,0.018743374197944404,0.018876420519651736,0.09961164221518783,0.1584498040564281
Bulgaria,0.014843082336604009,0.030074304071030525,-0.0035913934879983874,-0.005673590968784611,0.023194917431815083,0.022210002353791086,-0.004822930185578815,-0.004756207334445963
Burkina Faso,-0.006689247155895936,0.0037265109642895355,-0.03374061722280229,0.03762876882590733,-0.0031938014028370567,-0.000736497600234272,-0.023736304086213102,0.029996237912137493
Burundi,-0.010499950811257716,0.0014930415409471838,0.021638262592165385,-0.005236609922016662,-0.012243081780141682,0.0009099182156713479,0.020941540503362648,-0.005851990650370577
Byelarus,0.02416690435189534,0.02075313023784113,-0.012228975118927671,-0.012280172751758784,0.022142687456271005,0.021898635246712168,-0.015644993711694463,-0.011402545293934025
Cambodia,0.017626776636349255,0.022392209685424314,0.044412348969683185,0.0504905818005186,0.01971242468412492,0.01955557813993349,0.05214460975129371,0.0425291038297332
Cameroon,-0.015357009016449001,-0.014499914664076201,0.006643429889369324,0.008559763800121134,-0.018111845105905685,-0.008833038791848633,0.00719898507805178,0.006805070971521365
Canada,0.004169481264447606,0.007460848727086093,0.004142678357583741,0.005589826409110249,0.004587055006873153,0.00765074616377198,0.004166683736715743,0.005067724906538209
Cape Verde,-0.02291158791885627,-0.022674590969724216,-0.0257706730071227,-0.002876148935055501,-0.022610466304584267,-0.024987567107347085,-0.014323410971089093,-0.014323410971089093
Central African Republic,0.0012320970225973896,-0.01155693710784001,0.38005836456248016,0.3933029134096919,0.005729680884888212,-0.01057185742104494,0.386680638986086,0.386680638986086
Chile,-0.03001824847358061,-0.03426819306126382,0.011523928367970598,0.02059039235184592,-0.03131080467771062,-0.03250726556331154,0.012411077074589454,0.018352099861206648
China,0.0443971380876835,0.043475120290022456,0.008543155265511032,0.019091246280962336,0.04629855823232007,0.04235248677698386,0.009189247260454747,0.016646787221396335
"China, Hong Kong SAR",-0.013163178343573079,-0.004701642999007214,0.006684690086903245,-0.0031349917524046405,-0.011845157533077712,-0.005270620139239376,0.004998241086198208,-0.0017462207144737524
"China, Macao SAR",0.0068353695328606575,0.004132310003432895,-0.0376361104478135,-0.026496878079322998,0.0020145668615671967,0.009935160120602827,-0.03821708274005138,-0.027505136858879977
Colombia,0.023729446289706548,0.02592756044252244,-0.005031987846165117,0.014269802030618294,0.027483228375006826,0.021981024373991197,-0.003318983479597245,0.011310787041043617
Comoros,-0.006158423474180283,0.01672961225912154,,,0.004093044036727525,0.006608876178427224,,
Congo,0.03397033268833049,-0.007234723809886412,0.0019237809356009038,0.014701401354784632,0.029903119908557093,0.0025344268229825937,0.0055891655216954335,0.009826009986984201
Cook Islands,-0.0079187274972581,0.05261205522635954,,,-0.010891970027161907,0.039310961714216,,
Costa Rica,-0.048913987772841096,-0.05625165993914762,-0.0034253182839933203,-0.0011938442923607967,-0.052722010029319984,-0.05142432442647779,-0.008301942098999097,0.0032421564390358085
Cote d'Ivoire,-0.0014686940105088039,-0.0021670989081914293,0.044679636782787,0.031669357043517914,-0.0011459381057563078,-0.0011628422467244094,0.044808742557991235,0.03316255297652943
Croatia,0.0009273379681618943,0.009377267302952987,0.015481623706443355,0.024865483658364072,0.0019870164725469,0.007920419582577653,0.01442885613696731,0.027009134820786075
Cuba,0.041391756968616196,0.0029086239918167793,0.03508843020158541,-0.011969771047906714,0.05900090268401934,-3.876076071822054e-05,0.011559329576839354,0.011559329576839354
Cyprus,0.0008467403315459084,-0.015086420870955438,0.00723635510437503,0.019042752226029365,0.0013572720038806153,-0.014479804926274145,0.010422219227795484,0.015879262511168914
Czech Republic,-0.011141929078078866,-0.0077697404947061136,0.0045650475673094494,-0.002109387612473412,-0.010497546937351296,-0.00832358344537208,0.005496024488893909,-0.001276020048636693
Denmark,-0.0041220442378593816,-0.009347892360679016,-0.015205371581959332,-0.020601707846120546,-0.003982007440189551,-0.009114214066464819,-0.016177508629150083,-0.01978546358845187
Djibouti,-0.021735136699856373,0.0012888993506791314,-0.07950555170771866,-0.07274253882824633,-0.026329917277245735,0.009440160910202833,-0.07782867847776333,-0.07474328395734399
Dominica,-0.002371783099515527,0.0002861792778627124,0.07181863715362492,0.07418245016554564,0.004037107202467127,-0.0014574523091029478,0.06910426563587409,0.07463098658091326
Ecuador,0.007490074497283949,0.007771321889277255,0.0037886069268839046,0.004016340990611205,0.008377626694741696,0.006443729486374027,0.003126976899042887,0.0039560685177147704
Egypt,-0.01163698713838692,-0.020612284562335013,0.01612610873105608,0.004119934258646597,-0.012824078130663552,-0.017210226145644533,0.017297628876787412,0.002681778818705145
El Salvador,-0.0034959379795162387,-0.006069946908959764,-0.012907411925284194,0.006076805242601245,-0.0038579364938914895,-0.004292811091297276,-0.013471508233073826,0.006092705522965177
Estonia,-0.007410169596225108,-0.008297122786160446,-0.0040739212857287205,-0.008197043592086903,-0.006530610950780383,-0.008111698163759049,-0.005256726672285906,-0.00812268959971048
Ethiopia,0.007787868321918831,-0.005735821300498115,-0.000810409048847093,-3.280943491697988e-05,0.003655159857688725,-0.0009996019402453177,-0.0022264988991906004,0.0011433246151887886
Ethiopia PDR,-0.1758322524860383,-0.26405535511282807,0.05458811871068231,0.062353392365494496,-0.17271445928608267,-0.2599384033835932,0.0933720688807018,0.03802884040685225
Faroe Islands,-0.020187729836329,0.02221811880751055,,,-0.0028058501893823587,0.0042925849124523675,,
Fiji,0.006739426480452351,-0.02097115869232521,0.004465279210896184,-0.013822007621554902,0.0036003491984387,-0.01772704622094155,0.0010240686920053573,-0.010821307108292676
Finland,0.006519470721912248,0.0107103798692941,0.03534018442228325,0.05715690326749895,0.010526395103155577,0.0070191663086503885,0.040788498576954144,0.049573068026875375
France,0.014896508673378666,0.019173713646705875,0.006686357858000562,0.03545435736050254,0.017039588058547283,0.017207024439747413,0.0071409592446362545,0.03214875353855274
French Guiana,0.0020600422956522763,-0.010791504045040892,0.0392351879030145,0.013997131562286774,0.0012675302270195548,-0.00751212376166331,0.030888022383570014,0.022079808279936865
French Polynesia,-0.0009530498677264639,0.004059601209526035,,,-0.0009670529230386866,0.005214991187708232,,
Gabon,-0.021633497340465907,-0.01834501550393074,0.0463535519170356,0.04431647937789361,-0.022218351220190967,-0.018412082751131927,0.04034650068068754,0.0500516672168331
"Gambia, The",0.04735516348345877,0.0391692790900132,-0.08307515848934356,-0.09304436765405379,0.04192819773855533,0.0387221493041213,-0.08530479818306452,-0.08933242801999676
Georgia,6.542022095380143e-05,0.0012447429024864951,0.05521337246535629,0.04218614538503545,-0.0010938835063167753,0.004539214552460348,0.05386605756155426,0.04350055517121904
Germany,-0.011869854368526798,-0.011541407993149613,0.01630225576982627,0.014734472023323874,-0.01259396978716428,-0.010698679467061663,0.01610709772887276,0.014619903785808816
Ghana,0.001321022491082807,0.00249511095837554,-0.04768503317961212,-0.025743294393831183,-5.436475744238824e-05,0.004281226237483804,-0.053683959655936996,-0.023488209309797687
Greece,0.010976770475523322,0.0031277269722673954,0.015480933162440971,-0.00457229305821194,0.012069433620770021,0.001719177840592119,0.011915158992134805,8.330678353368344e-05
Greenland,0.03963336809238738,0.02185390262004326,0.016938075971683893,0.02039554048327536,0.05097034621326154,0.020271695803312763,0.022108647883772356,0.01594554540156301
Grenada,-0.13936267742292038,-0.08984224735910258,0.025415722432873915,0.09456880284141568,-0.1397368631159652,-0.08833073094165,0.02421778294076388,0.08957009658102329
Guadeloupe,-0.03542114799086087,-0.006813804909760841,0.1069216906629915,0.22860615638139956,-0.02910053199707905,-0.014893328938147423,0.12766761447173475,0.20042972164850004
Guatemala,0.019974785986966545,0.015987329797132663,-0.01209011692742496,0.009802192373933946,0.01850563838414187,0.020037238671000022,-0.012219945108730739,0.00745120354454685
Guinea,0.03697688446816378,0.004109847698152805,0.02773202065911056,-0.005923789832372681,0.04158517084039152,0.0037914338949498988,0.016115153538274196,0.005641934517671527
Guyana,-0.008257503574496465,-0.009390528164303113,0.01924981165475371,0.07842669843612222,-0.0064371983944659485,-0.008548364204965464,0.017530230752355585,0.07643351275655028
Honduras,0.004492178524734612,0.007926326615319036,0.006879935730150003,0.026352236781507898,0.004501145785925558,0.009265027867074754,0.004326975872801249,0.02905881686942988
Hungary,-0.003524916972431414,-0.00702177543575429,0.023319275900884142,0.034161553143374,-0.005406432473169046,-0.004827905688324883,0.02599303650945211,0.031030360680025404
Iceland,0.006853284383690252,-0.011720968294266032,0.03682159930076433,0.053059339793310005,0.005895935676216432,-0.00960190307057962,0.036160158667752844,0.04645052326901051
India,0.006521829011520862,0.01243323888784719,0.019472864235427722,0.012645072561441019,0.007611146228784118,0.011054443641018446,0.019828852815760876,0.011808618982235732
Indonesia,0.01725025873351833,0.011648309456990448,-0.004911928195096376,-0.0006045038998813756,0.01801372816329486,0.011989147399308392,-0.00459946450588884,-0.001155354851261924
Iran,0.048686619086360766,0.07673868880482511,0.005146526743370296,0.012195556485674046,0.06815806002959021,0.05976271075622954,0.00566236807254078,0.012552702489316643
Ireland,0.006829059180084295,-0.0028260416591023973,-0.0053004636936645685,-0.02076268539426761,0.0025378814489579295,0.0013000761191412286,-0.011325461310289433,-0.016611734438607573
Israel,0.009337836855604036,0.01583095655642578,0.03445831089697501,0.04721041697918321,0.011922165864325547,0.014538797207968907,0.037273976246347165,0.040140574659276715
Italy,-0.000976099230450492,-0.02649234024537509,-0.002855486068583408,-0.0020084170398832644,-0.00104057907186522,-0.024749019959292438,-0.0037004603747423414,-0.0012563120174792443
Jamaica,-0.02082222357562438,-0.02546910284035146,-0.028228421900732194,-0.022783450204075722,-0.011950307469349664,-0.022724411294657854,-0.029261258236047662,-0.022092066917537848
Japan,-0.017722229062388968,-0.018402098874391867,0.00322750980881596,0.00965347268187867,-0.018876028091057286,-0.016345822346768738,0.004110988640268379,0.008836968141318575
Jordan,-0.005749362475991029,0.010699641661916013,-0.07724550810134,-0.04480498476212966,-0.005478366238062059,0.010821782115031752,-0.07027101683193765,-0.05249994231627141
Kazakhstan,0.017775662986445243,0.0030116742569482975,0.03297527479095519,0.03360399244977448,0.010760458273033876,0.009672852715929733,0.034927721923426074,0.02988809296591607
Kenya,-0.018249904334736465,0.00886880398639621,-0.00919090020402067,-0.007866182487236703,-0.013256890015723355,0.004402397498965517,-0.00967328038117893,-0.00919713416612222
