,af_in_pr,af_in_vl,af_ex_pr,af_ex_vl,af_in_pr2,af_in_vl2,af_ex_pr2,af_ex_vl2
Belarus,0.058446103874813395,0.054326642362459626,-0.02069243159791942,-0.042346972363901364,0.055318269813835856,0.0555222107068806,-0.03684283249297217,-0.029794076100063058
Belgium,0.0038204471513493656,0.02293250119774527,-0.017828751685552976,0.012619603918678293,0.01020732187076935,0.018336518130420393,-0.016339730847487643,0.008410767608490091
Belgium-Luxembourg,0.011055357007913076,-0.002826125987993168,0.0009764901637427778,-0.015111419116905394,0.008007316087770538,0.0006380049348872213,-0.0025559144335223403,-0.015147466724884207
Belize,-0.004832624501929548,-0.029627522092859453,0.038296766200570244,0.038330751828935625,0.006271698531290695,-0.029548760689225895,0.03837850096650952,0.0402238600677178
Benin,-0.03172297565439996,-0.018747019297980644,0.02157907813238053,-0.002004765092267844,-0.03514889004862464,-0.01901282484982379,0.0155879898975386,-9.299392598556555e-06
Bermuda,0.01182950756390064,-0.04771163172989237,0.07580588797941216,0.10351321925387996,0.025843445611601554,-0.033341139967480296,0.06673943682709454,0.10567828298448206
Bhutan,0.025788498641489483,-0.06612684875289133,-0.002885567867986792,0.022729348555961443,0.028888624556679048,-0.04961578784035606,0.006172991270820716,0.012918879285859204
Bolivia,0.009453957147610562,-0.0037204668329081877,0.05177501349532105,0.07465646397998751,0.009768876959586155,-0.0052668965963888256,0.054472557084196425,0.07136680071778047
Bosnia and Herzegovina,-0.011071010711642734,0.001505560480112669,-0.01091993016670981,-0.0017106902819541215,-0.010577097516022786,-0.00010891577376006109,-0.01769453246584132,0.007058053376662948
Botswana,0.005895329811785731,0.005238513102502247,0.029391517544369545,-0.044703704172496306,0.00305225223188759,0.009327891457831987,0.016715154503390242,-0.045700581746704556
Brazil,-0.03588576653428223,-0.045329070788891306,-0.02971444158652117,-0.022731369041350973,-0.03379087837730265,-0.04634037621540966,-0.030743952968951715,-0.022438035202951942
Brunei Darussalam,0.049375374720161035,0.06936900478406549,0.14009555983378746,0.1683347705409173,0.054780290711990955,0.05836558805471133,0.04953168833475942,0.21619367602132056
Bulgaria,0.055412187737954595,0.08271447100925072,-0.007452351754038913,-0.014963651081105379,0.06356584758611412,0.07406827597696625,-0.011312125790897295,-0.011664426180926033
Burkina Faso,-0.010194357102027126,0.016896948012400832,-0.08161676397345251,0.026358084293636362,-2.8530041508709365e-05,0.005960968828339521,-0.06755673578235324,0.017466215611228263
Burundi,-0.02532414660829225,0.0034449165590105728,0.05490935483343844,0.0014921584836251648,-0.03224168056429282,0.0029740019777469073,0.056733419758508985,-0.0006125223966928605
Cabo Verde,-0.06154002349314668,-0.06911622830008786,0.0017926563464632436,0.11732108921934353,-0.06493746280699278,-0.06943704164256105,0.05955687278290338,0.05955687278290338
Cambodia,0.051176492550684925,0.0614058448781383,0.0721257070203488,0.10225038436459849,0.0595558728168215,0.05385256635304942,0.08220967692268684,0.08604003998820639
Cameroon,-0.030014610409323707,-0.016570978625505495,-0.007156977250541595,-0.0078604677459185,-0.030424743565249816,-0.010618133442050521,-0.014177797771642697,-0.004582687042522179
Canada,0.005157870834913655,0.0061280534841331065,0.006723987870686869,0.005986856546641523,0.004217045306319278,0.009084099558687725,0.0047179370443635954,0.007296039862306275
Central African Republic,-0.0029702443706490188,-0.0389907197147329,0.21204605263930756,0.07504508319033845,0.0025430263691615784,-0.029883633971649493,0.14354556791482298,0.14354556791482298
Chile,-0.05332203380739447,-0.05974012403566406,0.01624492627310877,0.022085801919146324,-0.05428263372664878,-0.057876696506910755,0.014949051445333707,0.02213183133209813
China,0.05562633855506553,0.04360575385505635,0.018348558822326638,0.0286092940492335,0.052537313212386944,0.04711318767971935,0.018316381474275913,0.027655052880436442
"China, Hong Kong SAR",-0.019876758597163636,-0.01288063540040142,0.010983647717685622,-0.005398626668003311,-0.01831872922763362,-0.012989608040376126,0.00821164094967787,-0.0032218322228923396
"China, Macao SAR",0.014141299182906186,0.02037621330882674,-0.05308393372502535,-0.014384642983358502,0.00785265113968123,0.028196536814187344,-0.04962892270808558,-0.021480988458889294
"China, Taiwan Province of",-0.035840970795434,-0.028571028817779013,0.04094240836746109,0.050475196556238715,-0.03866033000975131,-0.02587513088889413,0.04439566101663171,0.050429831759255125
Colombia,0.023283244005505507,0.01592243066689012,-0.014284859243556365,0.014320365233409725,0.023849630307642616,0.015822635863466678,-0.010559623333861895,0.009207919217593319
Comoros,0.005267140073647492,0.059281024056461795,,,0.027950635139300926,0.036037408033149726,,
"Congo, Dem. Rep.",-0.029246333643141286,-0.042048345222807926,-0.0023593418991136204,0.09786963840413268,-0.04577721364672338,-0.024149037130913487,0.04994534337538583,0.04655166087356575
Cook Islands,-0.029691182474575615,0.1479147908774804,,,-0.040510942735628754,0.11118870113651,,
Costa Rica,-0.07839604435628297,-0.08147756164165462,-0.007758970164779114,-0.01581302664162136,-0.08096956843981751,-0.07742834589515936,-0.014603879842853659,-0.008954864672638672
Cote d'Ivoire,-0.0037771177304432397,-0.008902135076778608,0.04236804672594962,0.0158328040805396,-0.0027050413627903716,-0.005792097632893019,0.03833576946195997,0.020884048946847575
Croatia,0.0050538282495272945,0.028829556466017273,0.03673124943942196,0.07333503915268932,0.010243279329234698,0.022681309154393686,0.04309079107375991,0.06823583646876807
Cuba,0.06592906208222477,0.05735445747895216,0.04139327578967465,-0.09488620126579798,0.0884618075874371,0.0422581500112349,-0.026746462738061673,-0.026746462738061673
Cyprus,-7.697550033819751e-05,-0.025522516365916865,0.005602754525920354,0.020137701905471924,0.00011654438489161611,-0.02440670702028378,0.010584400820046184,0.0157554336260685
Czech Republic,-0.024193378634337626,-0.022801123091942696,0.01034893729876333,0.007512316701217368,-0.022493455411005277,-0.021703389241981324,0.012178948302063593,0.005585419346582628
Democratic Republic of the Congo,0.12419264470914944,-0.06360714632188902,0.009914971182242037,0.023765979751505815,0.059071490462584544,0.021967514268333266,0.006072594120709343,0.024454987169936656
Denmark,-0.008384038702109568,-0.013418066128281263,-0.023034442435347795,-0.022060096205522805,-0.008140833674753371,-0.013178299638152374,-0.021109447234440006,-0.02377039906748632
Djibouti,-0.02382524081556984,0.007167415739012398,-0.08705461182173455,-0.05205560092060246,-0.028569620947660492,0.014003417768404715,-0.08044151786851071,-0.06207765944702033
Dominica,0.008308066555425826,0.03216442848912405,0.19946494090621533,0.24948881061986253,0.0240027829709742,0.023434989706638227,0.20969463722866521,0.23036516594444736
Ecuador,-0.008703113896451339,-0.016565021238779547,-0.0027755125936063016,-0.003916825915163351,-0.010363571403222804,-0.013832482745083715,-0.004388325690878579,-0.002321178618693119
"Egypt, Arab Rep.",-0.019843583687200635,-0.0331890826309071,0.022913324502575248,0.0014607814015698323,-0.021665705949731873,-0.02885873849854542,0.024135663168838174,2.026317461439259e-06
