,gdp_af_in_pr,gdp_af_in_vl,gdp_af_ex_pr,gdp_af_ex_vl,gdp_af_in_pr2,gdp_af_in_vl2,gdp_af_ex_pr2,gdp_af_ex_vl2,pop_af_in_pr,pop_af_in_vl,pop_af_ex_pr,pop_af_ex_vl,pop_af_in_pr2,pop_af_in_vl2,pop_af_ex_pr2,pop_af_ex_vl2
Bermuda,0.0015701094325817752,-0.01070158209662956,0.07381005349337028,0.08384852691160524,0.004479607641421327,-0.006821468207398318,0.07262458757964331,0.08247984266636693,0.007805008194307432,-0.03705822504131969,0.07828866317534339,0.10020729873616706,0.01690552393627861,-0.024528710411648696,0.0743414913205029,0.10285084197436509
Bhutan,0.005811142440949685,-0.025394725697397962,-0.004181475571931668,0.012334248819513519,0.006894661766452536,-0.016581358909902852,0.0034571441661539136,0.004598725078813223,0.018781013882675387,-0.07572131275677955,-0.009254482730927304,0.016194126300768708,0.020614166320129735,-0.05114449573836838,0.0005962233821339206,0.005867308912058544
Bolivia,0.01595892534798928,0.013890922377610405,0.04252693245020257,0.08427033073715164,0.017320865570929135,0.013113106523714542,0.04878965407227204,0.07424626048475275,0.023117321930608226,0.023036174561959836,0.05730925165559332,0.09868443970723857,0.026090874334706846,0.02002025859847982,0.06384738497228885,0.08943464415907586
Bosnia and Herzegovina,-0.007275078870605917,-0.005410658919936735,-0.002442827400163793,-0.002299355273674783,-0.006563053210229036,-0.006009296471122803,-0.008072698793782558,0.002618161843658261,-0.018099788291025567,-0.017195042917262232,-0.0038038476295910156,0.0024472869664777398,-0.018627483474100086,-0.016680914143808224,-0.011002369100681135,0.010641452418582182
Botswana,0.004355127322014061,0.00697512061340035,0.05908419569047941,-0.00943841882305318,0.0037616174733037014,0.0072036091085720365,0.05294642941283784,-0.007228414347053927,0.007072139263302367,0.005568787024794291,0.053622011151583014,-0.03161869424964986,0.004456659011902691,0.009103965419120131,0.04517856295378617,-0.02808586928376324
Brazil,-0.010439044184757279,-0.024494656845593214,-0.01843040886742466,-0.014229621215509615,-0.010513828751604153,-0.02251618724167392,-0.021665213712539374,-0.011970929724483057,-0.024385878198917136,-0.04348517467437727,-0.029196240726104255,-0.02407080369974689,-0.022262662662285052,-0.043632600291569956,-0.03289321391203948,-0.021756854929928224
Brunei Darussalam,0.008908371069410725,0.015868490417503173,0.08876134734123872,0.11041440921646471,0.01200135430534732,0.011941336832268171,0.0689911917033594,0.11754226012126315,0.03313763182149197,0.06449185490802574,0.1378434417855338,0.19485789560324823,0.04499595321600034,0.04889551229655434,0.07466075333666125,0.2192420488868067
Bulgaria,0.03022153893040728,0.01986528807315911,-0.003646458348354335,-0.0038133836901678812,0.028758721932736875,0.02276222400324251,-0.004174117765916923,-0.0038804387391882474,0.024329061132750962,-0.0002228785323995801,-0.006724682410933965,-0.010498933359478884,0.019931172073296657,0.006317988036255865,-0.00888827209691492,-0.009262773937261486
Burkina Faso,-0.01825385166975544,-0.00913756450514562,-0.03241369813261611,0.020786955582809907,-0.017338814241744657,-0.01273193920828107,-0.03661062697597284,0.02162421075131698,-0.029533327404693114,-0.013377118558451879,-0.07181887736447881,0.03305853843337281,-0.025663435212293747,-0.019191765983375426,-0.06393025503160871,0.025970756393938407
Burundi,-0.00564810332847372,0.004202428159535742,0.005006514225497295,-0.017547782762622994,-0.007871869303952329,0.0021464816413829216,0.0049266080994988075,-0.018176529881640726,-0.017329047626107145,0.0054024362517942895,0.03766622950107011,-0.0018359046058773773,-0.019908942231548394,0.001259242945764146,0.046437097186325625,-0.00848557376509423
Cabo Verde,-0.0013065002009862497,-0.015611028741256564,0.010888664470954497,0.016700393410540058,-0.009376237005971925,-0.008387589489317695,0.013794528940747277,0.013794528940747277,-0.011459710301677565,-0.04651651778323846,0.02150965572162247,0.040607410346270786,-0.03144211324477556,-0.029763239007579777,0.031058533033946636,0.031058533033946636
Cambodia,0.013058310323373649,0.03466146944355905,0.050384514587573474,0.068524935658744,0.021037635854899286,0.024652375856942577,0.06122490395770199,0.05378435721437133,0.03903377385705577,0.06044736487139526,0.0777768605883213,0.10441147582420082,0.05103631847898224,0.048616431419145,0.09040040349852173,0.08671244951526216
Cameroon,-0.01277916300050055,-0.004843183984663372,0.00790088488030356,-0.0007388057786245184,-0.013637285412797242,-0.003255468365210503,0.0023984965380996776,0.0020369170421253796,-0.02693339035956121,-0.010175305295974966,-7.369832166915897e-05,-0.002790376139967744,-0.02564879325465453,-0.008242318665191494,-0.006028519362799274,-0.000692311762230266
Canada,0.005422464816196091,0.010927945024856483,0.0037282508737016408,0.0056107127694881255,0.0067740518835805305,0.010104142566914918,0.003577284621712414,0.005014402564935657,0.006805431041846326,0.010314141281684877,0.00680252780865464,0.007403002364842757,0.0069445152341151666,0.011810825487943223,0.004836420219308205,0.008045280189721055
Central African Republic,0.0004749923874270336,-0.02631950351986398,0.4465515868800643,0.3474637679461119,0.0021291860491324094,-0.018507638100324717,0.39700767741308807,0.39700767741308807,-0.000985593701496023,-0.03761686346140995,0.43461180185017984,0.36130569618198183,0.0017536686776084022,-0.025270076458622438,0.3979587490160808,0.3979587490160808
Chile,-0.010773018326100937,-0.020936901944736522,0.01276076207798912,0.02268365233382297,-0.013837307000116641,-0.01700638301295487,0.013561265011463274,0.020170552533184824,-0.026987248867882528,-0.03669502372679036,0.018453842730505873,0.02751445278165237,-0.02889342656259354,-0.03351736477745898,0.01915573704163424,0.025592469619772077
China,0.04876609183931,0.05192371509946925,0.009019528283801313,0.024525226906259395,0.05249651630970883,0.049029771606533545,0.011703403262103177,0.019671410503083884,0.06482719803340461,0.06024218950775019,0.01665125485769773,0.03159692917642167,0.06521734948600376,0.06043469643928481,0.01792624008088561,0.028143202818613475
"China, Hong Kong SAR",-0.016263923027285736,-0.014051263332790363,,,-0.018748697636845408,-0.011112739072928472,,,-0.023734263883094867,-0.018482221565606853,,,-0.025039579778703382,-0.016255383857656614,,
"China, Macao SAR",0.011529558660192132,-0.001391370543803698,,,0.010327055708185158,0.002021798840446909,,,0.029816246717080257,0.008501831061566325,,,0.02727252922952751,0.014956099223594588,,
"China, Taiwan Province of",-0.01650739781074537,-0.0023695993506327537,,,-0.017044253334628747,-0.0030339204991365323,,,-0.02945747352454515,-0.010322796729074438,,,-0.029934864424102956,-0.010623905403500618,,
Colombia,0.037817111706330085,0.03806526952999241,0.0003906774285316291,0.021200154196138618,0.043235106797231096,0.03325356329384221,0.0014250942715945954,0.017738300659971677,0.04463452647502525,0.04017393831618442,-0.008206542939728433,0.0177910663971042,0.04965903089028632,0.03612382178001374,-0.007287781767718961,0.01464062558622455
Comoros,-0.0050371509390700125,0.018779880676002392,,,0.00807188611086141,0.006581128531296779,,,-0.0001109787806214152,0.05700610888560478,,,0.02551852132415134,0.030584014586072017,,
"Congo, Dem. Rep.",0.007929764243062895,0.02149735303234808,-0.08457232815174234,-0.0554405523334473,0.015576806801436135,0.014470948200662212,-0.06786613021875307,-0.07137123778784475,0.0034440286946209506,0.00517457397859503,-0.06371951883653962,0.04836862427774573,0.011347633654542033,-0.0007137439808714578,-0.004661466773296374,-0.009497680826128141
Cook Islands,-0.0049952771723899515,0.06448454085420363,,,-0.0064800826827903025,0.045408823961527754,,,-0.019999497327449038,0.13463589097734768,,,-0.03009963098550177,0.09694518219962657,,
Costa Rica,-0.04717738492876732,-0.06158681720813447,-0.0022564369129231448,0.009689768268573045,-0.053618055925453954,-0.054224533355347077,-0.00363649050360795,0.01071214893067844,-0.0791413270078724,-0.09605228945977211,-0.006442018487009544,-0.0006665696333818208,-0.08660373151197416,-0.08630124951520388,-0.008537334664891753,0.0026440767095881317
Cote d'Ivoire,0.002647250867562462,0.02047158264307904,0.04035597373919819,0.022033753692917404,0.0041730085064890675,0.01695522693709322,0.03918703236145084,0.025799646818063186,0.0026832731320983573,0.03102825443830668,0.047116094802436684,0.02227533374679188,0.005240438060396613,0.028496123351204678,0.04466103300547929,0.026219744476522575
