name,af_in_pr,af_in_vl,af_ex_pr,af_ex_vl,af_in_pr2,af_in_vl2,af_ex_pr2,af_ex_vl2
Bulgaria,0.0701819960567718,0.06656606686536412,-0.015117058422528253,-0.008819188589272152,0.0631885007805641,0.07357141177751053,-0.011528578084796405,-0.011813521935041248
Burkina Faso,0.011645193449138896,-0.0045844981912203505,-0.05111869169464011,0.011650497930949478,0.0010745655408416546,0.006982056337559526,-0.0642664267705796,0.01837778781675908
Burundi,-0.03865789575015436,0.002280860135562141,0.05526309881673404,-0.002052716229484316,-0.032373631057660016,0.0029336539337204487,0.05598543777572172,-0.00030828884775789084
Cabo Verde,-0.06563132430892782,-0.07001851122047625,0.11981745039137005,0.010591704029174248,-0.06408208496966485,-0.06802889454852852,0.06520457721027215,0.06520457721027215
Cambodia,0.06689687413639166,0.04635857907076149,0.09047963977975652,0.07049503326040593,0.059235278154265984,0.05352365073735992,0.08163235582161008,0.08599876817237574
Cameroon,-0.0294244547601297,-0.005502297383130758,-0.022360248960172236,-0.000686525997425154,-0.0298907435311792,-0.0111007765716261,-0.014539153285172846,-0.004742140765637769
Canada,0.0032618809193729783,0.011452393105688944,0.0021795270489053573,0.008698417710066197,0.003981594125777118,0.008532291094527397,0.0044117847906061216,0.007028504594003837
Central African Republic,0.008329566489501566,-0.021364916479145037,0.052979840970363984,0.2154031030170928,0.0031607093057784185,-0.030260857041785744,0.13419147199372838,0.13419147199372838
Chile,-0.053505919710045535,-0.055795659161755634,0.012642857511926757,0.02248981651633174,-0.05323414413484005,-0.056863032120611584,0.014539707750460934,0.021716612727262483
"China, Hong Kong SAR",-0.016451719257249166,-0.012253482403416812,0.004609844305775185,-0.001254250853649019,-0.017670760844767253,-0.012612021607588984,0.007758411771432586,-0.003399882874184244
"China, Macao SAR",0.00017577125670433741,0.035709571355692436,-0.04236771027561996,-0.029055450746763162,0.007033686923189082,0.0268047843210694,-0.04845528619895773,-0.02039384763615954
Taiwan,-0.04067292364128578,-0.022972479886461037,0.04655745559559045,0.05008720746187725,-0.03812670397251198,-0.02559495369314569,0.043870484835017216,0.049375515058585284
China,0.04730082113790555,0.049906393605386484,0.017965461766602082,0.026233784088254858,0.05106571608367852,0.04571966850094971,0.017872130223871262,0.02713270573968324
Colombia,0.023993336365165582,0.015101637335379137,-0.0055422983509858924,0.003785526604542679,0.023352968855696158,0.01543586418457404,-0.009991938928357116,0.009494864633544986
Comoros,0.05129865471163887,0.016894980719637288,,,0.030097066384868563,0.03813371635945542,,
Congo,-0.06307475464979545,-0.006505450523499081,0.1011371002197364,0.007674879879694863,-0.04661388798916773,-0.025481591946161914,0.055711935171901684,0.05226328777005214
Cook Islands,-0.04969896792059364,0.07863969653583804,,,-0.041120653267246066,0.11311952401160764,,
Costa Rica,-0.08026739614153994,-0.07429630873351374,-0.02131794096226117,-0.00403869784330822,-0.07966738519796525,-0.07637566988281938,-0.015139621701452046,-0.009696888724146528
Croatia,0.015230686957817988,0.01744471907040272,0.04917442400875606,0.06251945866933246,0.010688327663313206,0.02294803474922068,0.042821213836225135,0.06728704707060262
Cuba,0.11060539757027556,0.029459657974164867,-0.10171201751030733,0.03381543336558678,0.08913480285831812,0.043192690221686265,-0.033948292072360275,-0.033948292072360275
Cyprus,7.374369812127771e-05,-0.02306720488332986,0.015280484391045722,0.012736803479761121,0.00017728096205736594,-0.02399613476939981,0.011006287045857491,0.016041141135421547
Czechia,-0.019259684490729817,-0.020864004805632986,0.013698154201168834,0.003890545182122026,-0.021912835766627642,-0.021404745919469455,0.012144741669304543,0.005693330211147228
Côte d'Ivoire,-0.0010952695429531881,-0.003459626079259982,0.0320570547526728,0.026044435744494072,-0.002577463045567662,-0.006080885929668526,0.03713639693851305,0.019968533923671167
Democratic Republic of the Congo,-0.018766768159788227,0.10154368999942576,0.0011413433309333744,0.02515328812617128,0.050919493666869264,0.012226539564317615,0.005576936306206006,0.02389133250478285
Denmark,-0.007629105096717826,-0.01262403576363251,-0.017953409881066258,-0.025417255390494997,-0.007933593572930242,-0.012896641571561744,-0.02048717067523767,-0.02310954611491587
Djibouti,-0.03198482804751883,0.01894968374211891,-0.06956251740465286,-0.07118957363183885,-0.02864626327760628,0.01280449539868556,-0.07809709721368348,-0.05970493992874959
Dominica,0.04248650409512859,0.01679234394761875,0.20779921134423415,0.21990177860426685,0.02498587952257994,0.024088347336206226,0.2073835669389448,0.22866634174197176
Ecuador,-0.011830344894930345,-0.011126667593054824,-0.006496605313376085,-0.0006822513991805907,-0.010336680112203992,-0.013828689399606834,-0.004403982038765683,-0.0024284786615755482
Egypt,-0.023621974140302232,-0.02418781025954501,0.02451749620953383,-0.001519293626592797,-0.021303864980755236,-0.02866524300615008,0.023785798209569373,0.00014029529924751874
El Salvador,-0.010775846062008277,-0.009561113115692013,-0.0037015555334166577,0.015535624648725141,-0.012643887904994442,-0.010489889720880441,-0.003430618788335179,0.012681697101273095
Estonia,-0.012733038404767309,-0.01911461033028411,-0.012594211727984368,-0.01975634517616959,-0.014870981413109344,-0.020080287839318242,-0.01052422109823141,-0.02119199241902832
Eswatini,-0.019708882068612727,0.002658695138278086,0.15659568650432878,-0.0006118069644687474,-0.020514627948071008,0.0060474826388228296,0.11166682064655592,-0.002192833856022841
Ethiopia,-0.0007106694193896206,0.00809456321922517,-0.02043669782014556,-0.007835059692614011,0.008549031450895772,-0.003393400663419844,-0.016845705458207457,-0.011164143466814856
Ethiopia PDR,-0.09149504157026993,-0.20895628885908296,0.0757741074194125,0.035570601038305553,-0.12256439286562175,-0.16867016992019684,0.06413892266336606,0.04945886375425629
Faroe Islands,-0.05541572944569005,-0.04984003826975003,,,-0.06009009100813147,-0.04333009313559097,,
Fiji,0.0036299505705864343,-0.019591355891419502,0.007709903505632962,-0.005122789319043346,0.008009328762624711,-0.02251749656996204,0.011640226758931177,-0.0066687208703278215
Finland,0.010812340645722479,0.0017533008922158756,0.035491432623754066,0.04858334065212402,0.009492198155087502,0.0024170721956420877,0.03778000658867007,0.04780971030223016
France,0.0164837384882552,0.0142188417864935,0.016597594469477263,0.048860871794970916,0.01594891048930463,0.013764947629929086,0.017195821347112374,0.049489117407059996
French Guiana,0.006304035594787903,-0.006846184243409512,-0.01884912352073913,0.01371158128229303,0.004270755854974694,-0.0071911372187266846,0.0014823406456948849,-0.00493531598173806
French Polynesia,0.0012655719188788932,0.01713478600863826,,,0.0011523193507260061,0.015162655551772831,,
Gabon,-0.042352973117609334,-0.0366313393894175,0.14101019445646928,0.1539724560920524,-0.04137308507510968,-0.03448336695849944,0.13652247641911364,0.159845904661088
